point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel2
1,57,3608,0,0,0.0066519,0.0052661,1.3708,0.38886,0.090909,0,0,0.023836,0.001663,0,0,0.23254,0.075665,0.012195,0.0091463,0.0074834,0,0.0063747,0,0.0052661,0,0.0091463,0,0.032428,0.26109,0,0.0066519,0.0030488,0.0049889,0.023004,0.0094235,0,0,0,0.0060976,0.012195,0,0,0.17766,0.074557,0.26109
1,58,2535,0,0,0.01144,0.0086785,2.4682,0.88757,0.14793,0.0643,0,0.039842,0.03787,0,0,0.19606,0.020513,0.19882,0.062327,0.11164,0,0.38422,0,0,0.015779,0.011834,0.072978,0.19448,0.4,0.30572,0.043787,0.012623,0.016568,0.035108,0.067061,0.053254,0.0086785,0.0094675,0.038264,0.020513,0.076134,0.014596,0.2789,0.076529,0.7144
1,59,773,0,0,0.0090556,0.0025873,0.78137,0.26003,0.12549,0.059508,0,0.049159,0,0,0,0.23415,0.046572,0.0090556,0.034929,0,0,0.007762,0,0.080207,0,0.025873,0,0.046572,0.25614,0,0.02458,0.003881,0.003881,0.007762,0.003881,0,0,0,0.011643,0.0025873,0.011643,0,0.016818,0.025873,0.25614
1,60,828,0,0,0.0072464,0.0012077,1.1027,0.24758,0.056763,0,0,0.077295,0,0,0,0.43116,0,0.094203,0.036232,0.032609,0,0.10386,0,0,0,0,0.020531,0.16425,0.14614,0.1099,0.039855,0.028986,0.0096618,0.049517,0.024155,0.0072464,0,0,0.014493,0.0072464,0,0,0.072464,0.055556,0.25604
1,61,1234,0,0,0.0081037,0.0081037,1.8023,0.61994,0.1329,0,0,0.036467,0,0,0,0.30065,0.070502,0.011345,0.062399,0.00081037,0,0.023501,0,0.073744,0,0.04295,0,0.041329,0.24716,0,0.014587,0.0048622,0.0032415,0.017828,0.020259,0,0.020259,0,0.012156,0.012966,0.014587,0,1.248,0.406,0.26742
1,62,643,0,0,0,0.0062208,4.0653,3.2939,1.182,0.029549,0,0.023328,0,0,0,0.063764,0.043546,0.0062208,0.066874,0.03888,0,0.14774,0,0.10575,0.017107,0.03577,0,0.045101,0.23173,0,0.010886,0.0015552,0.0031104,0.015552,0.012442,0.0093313,0.0062208,0,0.015552,0.018663,0.017107,0,11.969,7.3064,0.23795
1,63,1327,0,0,0.015072,0.0067822,3.1198,2.4115,0.89751,0.084401,0,0.07159,0,0,0,0.45818,0.032404,0.018839,0.011304,0.027882,0,0.054258,0,0.083647,0,0.034665,0,0.065561,0.25998,0.014318,0.0097965,0.012811,0.0052751,0.030897,0.017332,0,0.022607,0,0.009043,0.012811,0.0037679,0,7.26,3.2735,0.29691
1,64,419,0,0,0.0071599,0.0047733,1.1122,0.33413,0.14797,0.17422,0,0.0071599,0,0,0,0.016706,0.083532,0,0,0,0,0,0,0,0,0.071599,0,0,0.28401,0,0.011933,0,0.0023866,0,0,0,0,0,0.0095465,0.0095465,0.047733,0,0.023866,0.016706,0.28401
1,65,425,0,0,0.0023529,0.0023529,0.63059,0.22824,0,0.025882,0,0.014118,0,0,0,0.087059,0.075294,0.0047059,0,0.21412,0,0.0070588,0,0.0070588,0,0.042353,0,0.016471,0.28941,0,0,0,0.0023529,0.014118,0.028235,0,0,0,0.0023529,0.014118,0,0.021176,0.0094118,0.044706,0.28941
1,66,2815,0,0,0.0092362,0.00071048,1.0789,0.4611,0.14991,0.035524,0,0.031972,0.0021314,0,0,0.064298,0.055062,0.0092362,0.017407,0.086323,0,0.017052,0,0.069982,0,0.030551,0,0.011368,0.19929,0.011012,0.010657,0.0039076,0.0039076,0.0092362,0.018117,0.00071048,0.01492,0,0.015275,0.020604,0.034813,0.001421,1.1879,1.5588,0.22522
1,67,7759,0,0,0.0085063,0.007733,1.789,0.45083,0.08184,0.062895,0,0.034025,0.0045109,0,0,0.25171,0.049362,0.014693,0.031061,0.10388,0,0.037247,0,0.051166,0,0.040727,0.0090218,0.030803,0.30339,0.015981,0.0052842,0.0038665,0.0027065,0.017528,0.017915,0,0.010955,0,0.011728,0.017013,0.0072174,0.012759,0.018172,0.03003,0.33033
1,68,652,0,0,0.0092025,0,9.2331,8.9279,3.8926,0,0.026074,0.11196,0,0,0,0.41258,0,0.018405,0.14264,0.14264,0,0.42945,0,0.1181,0.056748,0.02454,0,0.058282,0.078221,0.018405,0.023006,0.006135,0.0076687,0.026074,0.030675,0.026074,0.12117,0.015337,0.013804,0.015337,0,0,29.429,18.566,0.21779
1,69,1510,0,0,0.007947,0.0046358,1.5053,0.35166,0.04702,0.02053,0,0.033775,0.0019868,0,0,0.22119,0.050331,0.013245,0.02649,0,0,0.054305,0,0.039735,0,0.051656,0,0.023841,0.27947,0.01457,0.0019868,0.0019868,0.00066225,0.01457,0.011921,0,0.0019868,0,0.0086093,0.017881,0.017881,0,0.019205,0.024503,0.29603
1,70,1615,0,0,0.0092879,0.0074303,1.2941,0.4,0.2322,0.0037152,0,0.031579,0,0,0,0.2582,0.10588,0.012384,0.022291,0.0024768,0,0.024149,0,0,0,0.032198,0,0.037152,0.24396,0,0.014861,0.0018576,0.0049536,0.026006,0.0086687,0,0,0,0.0074303,0.017957,0.0018576,0,0.19628,0.093498,0.24396
1,71,395,0,0,0.012658,0,1.5038,0.44051,0.048101,0.10127,0,0.060759,0,0,0,0.43544,0,0.088608,0,0.5038,0,0.070886,0,0,0,0,0,0.13924,0.18734,0.091139,0.0075949,0.012658,0.0025316,0.043038,0.060759,0,0,0,0.01519,0.0025316,0,0.035443,0.096203,0.048101,0.27848
1,72,809,0,0,0.012361,0.0086527,1.4944,0.32262,0,0,0,0.029666,0,0,0,0.23857,0.048208,0.012361,0.035847,0,0,0.016069,0,0,0,0.040791,0,0.027194,0.25464,0,0.0049444,0.0098888,0.0024722,0.013597,0.012361,0,0,0,0,0.0061805,0,0,0.044499,0.063041,0.25464
1,73,1258,0,0,0.011924,0.0023847,1.1025,0.86089,0.3744,0.078696,0,0.030207,0,0,0,0.23927,0.10175,0.014308,0.0071542,0.026232,0,0.04213,0,0,0,0.022258,0,0.033386,0.31638,0,0.0015898,0.0047695,0.0071542,0.026232,0.015898,0,0,0,0.0071542,0.015898,0.0023847,0,5.5707,1.806,0.31638
